category	sub_Category	precision	recall	fbeta
workclass	Private	0.7360793287566743	0.6146496815286624	0.6699062825407844
workclass	Self-emp-not-inc	0.7360793287566743	0.6146496815286624	0.6699062825407844
workclass	Local-gov	0.7360793287566743	0.6146496815286624	0.6699062825407844
workclass	Self-emp-inc	0.7360793287566743	0.6146496815286624	0.6699062825407844
workclass	Federal-gov	0.7360793287566743	0.6146496815286624	0.6699062825407844
workclass	State-gov	0.7360793287566743	0.6146496815286624	0.6699062825407844
workclass	?	0.7360793287566743	0.6146496815286624	0.6699062825407844
workclass	Without-pay	0.7360793287566743	0.6146496815286624	0.6699062825407844
workclass	Never-worked	0.7360793287566743	0.6146496815286624	0.6699062825407844
education	11th	0.7360793287566743	0.6146496815286624	0.6699062825407844
education	Some-college	0.7360793287566743	0.6146496815286624	0.6699062825407844
education	HS-grad	0.7360793287566743	0.6146496815286624	0.6699062825407844
education	Bachelors	0.7360793287566743	0.6146496815286624	0.6699062825407844
education	Masters	0.7360793287566743	0.6146496815286624	0.6699062825407844
education	Prof-school	0.7360793287566743	0.6146496815286624	0.6699062825407844
education	Assoc-voc	0.7360793287566743	0.6146496815286624	0.6699062825407844
education	10th	0.7360793287566743	0.6146496815286624	0.6699062825407844
education	12th	0.7360793287566743	0.6146496815286624	0.6699062825407844
education	5th-6th	0.7360793287566743	0.6146496815286624	0.6699062825407844
education	9th	0.7360793287566743	0.6146496815286624	0.6699062825407844
education	Assoc-acdm	0.7360793287566743	0.6146496815286624	0.6699062825407844
education	7th-8th	0.7360793287566743	0.6146496815286624	0.6699062825407844
education	Preschool	0.7360793287566743	0.6146496815286624	0.6699062825407844
education	Doctorate	0.7360793287566743	0.6146496815286624	0.6699062825407844
education	1st-4th	0.7360793287566743	0.6146496815286624	0.6699062825407844
marital-status	Never-married	0.7360793287566743	0.6146496815286624	0.6699062825407844
marital-status	Married-civ-spouse	0.7360793287566743	0.6146496815286624	0.6699062825407844
marital-status	Divorced	0.7360793287566743	0.6146496815286624	0.6699062825407844
marital-status	Separated	0.7360793287566743	0.6146496815286624	0.6699062825407844
marital-status	Married-spouse-absent	0.7360793287566743	0.6146496815286624	0.6699062825407844
marital-status	Widowed	0.7360793287566743	0.6146496815286624	0.6699062825407844
marital-status	Married-AF-spouse	0.7360793287566743	0.6146496815286624	0.6699062825407844
occupation	Craft-repair	0.7360793287566743	0.6146496815286624	0.6699062825407844
occupation	Prof-specialty	0.7360793287566743	0.6146496815286624	0.6699062825407844
occupation	Sales	0.7360793287566743	0.6146496815286624	0.6699062825407844
occupation	Exec-managerial	0.7360793287566743	0.6146496815286624	0.6699062825407844
occupation	Machine-op-inspct	0.7360793287566743	0.6146496815286624	0.6699062825407844
occupation	Adm-clerical	0.7360793287566743	0.6146496815286624	0.6699062825407844
occupation	Tech-support	0.7360793287566743	0.6146496815286624	0.6699062825407844
occupation	Priv-house-serv	0.7360793287566743	0.6146496815286624	0.6699062825407844
occupation	Farming-fishing	0.7360793287566743	0.6146496815286624	0.6699062825407844
occupation	Other-service	0.7360793287566743	0.6146496815286624	0.6699062825407844
occupation	Transport-moving	0.7360793287566743	0.6146496815286624	0.6699062825407844
occupation	?	0.7360793287566743	0.6146496815286624	0.6699062825407844
occupation	Handlers-cleaners	0.7360793287566743	0.6146496815286624	0.6699062825407844
occupation	Protective-serv	0.7360793287566743	0.6146496815286624	0.6699062825407844
occupation	Armed-Forces	0.7360793287566743	0.6146496815286624	0.6699062825407844
relationship	Own-child	0.7360793287566743	0.6146496815286624	0.6699062825407844
relationship	Husband	0.7360793287566743	0.6146496815286624	0.6699062825407844
relationship	Not-in-family	0.7360793287566743	0.6146496815286624	0.6699062825407844
relationship	Other-relative	0.7360793287566743	0.6146496815286624	0.6699062825407844
relationship	Unmarried	0.7360793287566743	0.6146496815286624	0.6699062825407844
relationship	Wife	0.7360793287566743	0.6146496815286624	0.6699062825407844
race	White	0.7360793287566743	0.6146496815286624	0.6699062825407844
race	Asian-Pac-Islander	0.7360793287566743	0.6146496815286624	0.6699062825407844
race	Black	0.7360793287566743	0.6146496815286624	0.6699062825407844
race	Other	0.7360793287566743	0.6146496815286624	0.6699062825407844
race	Amer-Indian-Eskimo	0.7360793287566743	0.6146496815286624	0.6699062825407844
sex	Male	0.7360793287566743	0.6146496815286624	0.6699062825407844
sex	Female	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	United-States	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Taiwan	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Ecuador	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	?	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Mexico	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Columbia	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Philippines	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Germany	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	India	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Japan	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Dominican-Republic	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	England	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Italy	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Vietnam	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Portugal	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Greece	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Cambodia	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Puerto-Rico	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Guatemala	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	South	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Poland	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Canada	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Ireland	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Iran	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Yugoslavia	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Haiti	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Scotland	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Hungary	0.7360793287566743	0.6146496815286624	0.6699062825407844
